FID	UMAP1	UMAP2
Niger_Fulani_Ader:FAde09	-2.94113584	10.70844353
Niger_Fulani_Ader:Fade1	-4.990583919	13.08057159
Niger_Fulani_Ader:FAde10	-3.487623785	12.62143042
Niger_Fulani_Ader:FAde13	-3.657945667	12.13165309
Niger_Fulani_Ader:FAde14	-3.958283407	12.36984021
Niger_Fulani_Ader:FAde15	-5.257810123	12.87100885
Niger_Fulani_Ader:FAde16	-4.426004688	13.07576501
Niger_Fulani_Ader:FAde17	-4.996026408	12.4037858
Niger_Fulani_Ader:FAde20	-3.799513197	10.67118277
Niger_Fulani_Ader:FAde21	-3.611086007	11.81724455
Niger_Fulani_Ader:FAde31	-3.990572555	11.60968674
Niger_Fulani_Ader:FAde36	-3.164260691	10.43304352
Niger_Fulani_Ader:FAde42	-3.964985782	9.88316645
Niger_Fulani_Ader:FAde44	-2.995421219	9.579439906
Niger_Fulani_Ader:FAde45	-3.475663591	10.06753986
Niger_Fulani_Ader:FAde47	-2.486177269	9.707172596
Niger_Fulani_Ader:FAde48	-4.31016355	11.64053695
Niger_Fulani_Balatungur:FBal099	-4.862760768	10.91416034
Niger_Fulani_Balatungur:Fbal98	-0.725633527	8.005580123
Niger_Fulani_Balatungur:FBal100	-5.211034424	13.41965146
Niger_Fulani_Balatungur:Fbal101	-3.829578114	10.68669931
Niger_Fulani_Balatungur:Fbal102	-3.324132001	9.302123631
Niger_Fulani_Balatungur:FBal103	-4.189604137	12.81759541
Niger_Fulani_Balatungur:FBal104	-2.999994737	10.75855357
Niger_Fulani_Balatungur:FBal105	-4.072625942	12.59425392
Niger_Fulani_Balatungur:FBal107	-4.028758641	12.94122413
Niger_Fulani_Balatungur:FBal108	-3.551485328	10.22938301
Niger_Fulani_Balatungur:FBal109	-1.678552557	8.224883175
Niger_Fulani_Balatungur:FBal110	-3.492475507	11.40542061
Niger_Fulani_Balatungur:FBal111	-4.925844631	13.56406461
Niger_Fulani_Balatungur:FBal112	-4.909210497	11.84437038
Niger_Fulani_Balatungur:FBal114	-3.791512647	12.50959568
Niger_Fulani_Balatungur:FBal115	-4.178828932	10.29158866
Niger_Fulani_Balatungur:FBal116	-3.687379259	11.36370661
Niger_Fulani_Balatungur:FBal117	-3.400132203	11.78723205
Niger_Fulani_Balatungur:FBal118	-3.733745613	12.2460594
Niger_Fulani_Balatungur:FBal119	-3.175352977	11.09104783
Niger_Fulani_Diffa:fdif40	-2.527780391	10.54717923
Niger_Fulani_Diffa:fdif42	-0.802529903	8.545121829
Niger_Fulani_Diffa:fdif47	1.372045556	7.982432198
Niger_Fulani_Diffa:fdif49	1.154651985	7.620792015
Niger_Fulani_Diffa:fdif51	-4.446697174	13.06422513
Niger_Fulani_Diffa:fdif54	-1.760908905	7.978585345
Niger_Fulani_Diffa:fdif55	-1.462953256	9.163170528
Niger_Fulani_Diffa:fdif58	-1.089592553	7.879234606
Niger_Fulani_Diffa:fdif60	-1.364313774	8.140713898
Niger_Fulani_Diffa:fdif61	-1.699713677	7.881099617
Niger_Fulani_Diffa:fdif63	-2.190710845	8.942293838
Niger_Fulani_Diffa:fdif64	-0.321568371	7.815722467
Niger_Fulani_Diffa:fdif66	-1.791250489	9.465514734
Niger_Fulani_Zinder:fzin02	3.102337601	7.701744613
Niger_Fulani_Zinder:fzin03	2.294958168	7.398750042
Niger_Fulani_Zinder:fzin05	2.882494447	7.279638879
Niger_Fulani_Zinder:fzin06	0.639261738	7.649887962
Niger_Fulani_Zinder:fzin07	0.658768325	7.631359612
Niger_Fulani_Zinder:fzin08	2.586375144	7.191481713
Niger_Fulani_Zinder:fzin09	3.173428784	7.465934531
Niger_Fulani_Zinder:Fzin1	-1.417307964	9.121095013
Niger_Fulani_Zinder:fzin10	2.935816213	7.877627029
Niger_Fulani_Zinder:fzin11	2.409127837	7.240207548
Niger_Fulani_Zinder:fzin12	3.008859147	7.755835844
Niger_Fulani_Zinder:fzin14	2.739383491	7.498190839
Niger_Fulani_Zinder:fzin16	2.858867429	7.492151287
Niger_Fulani_Zinder:fzin19	-1.455034006	8.427118445
Niger_Fulani_Zinder:fzin20	1.326234777	7.529789472
Niger_Fulani_Zinder:fzin21	-1.512568445	9.22305832
Niger_Fulani_Zinder:fzin22	0.89202695	7.497337621
Niger_Fulani_Zinder:fzin24	-0.398928775	8.002717424
Niger_Fulani_Zinder:fzin25	-1.598367463	8.821381063
Niger_Fulani_Zinder:fzin27	-1.204240371	7.698869936
Niger_Fulani_Zinder:fzin28	-1.503591736	9.329894237
Niger_Fulani_Zinder:fzin30	0.945483646	7.55123981
Cameroon_Fulani_Tcheboua:Ftch114	-1.17503894	8.922460435
Cameroon_Fulani_Tcheboua:Ftch115	-5.895829463	11.65418811
Cameroon_Fulani_Tcheboua:Ftch116	-1.183187999	8.121415432
Cameroon_Fulani_Tcheboua:Ftch117	2.270481366	7.602984168
Cameroon_Fulani_Tcheboua:Ftch118	1.150211485	7.521369482
Cameroon_Fulani_Tcheboua:Ftch119	1.326542387	7.607489996
Cameroon_Fulani_Tcheboua:Ftch120	-1.028743104	8.164799506
Cameroon_Fulani_Tcheboua:Ftch121	-2.269185587	8.829645619
Cameroon_Fulani_Tcheboua:Ftch122	0.638600302	7.728996761
Cameroon_Fulani_Tcheboua:Ftch125	0.583569765	7.774669291
Cameroon_Fulani_Tcheboua:Ftch127	-2.767886295	9.993437284
Cameroon_Fulani_Tcheboua:FTch128	-4.596541296	12.12195834
Cameroon_Fulani_Tcheboua:FTch129	-4.430152564	12.27118817
Cameroon_Fulani_Tcheboua:FTch130	-4.300638134	12.8343712
Cameroon_Fulani_Tcheboua:FTch131	-3.364752672	12.06779863
Cameroon_Fulani_Tcheboua:FTch132	-5.295766414	13.65368529
Cameroon_Fulani_Tcheboua:FTch133	-4.312575657	12.2431845
Cameroon_Fulani_Tcheboua:FTch134	-3.166109381	11.2883598
Cameroon_Fulani_Tcheboua:FTch135	-1.11838111	9.359499561
Cameroon_Fulani_Tcheboua:FTch136	0.831064488	7.86333649
